ad_text,industry,actual_ctr,impressions,factor_urgency,factor_social,factor_spec,factor_cta,factor_curiosity,factor_price
The skincare set you've been waiting for. Shop now. The counterintuitive trick that doubled our results. 48-hour flash sale. Real savings inside. The luxury standard. Highly rated.,Beauty & Cosmetics,0.027695,117163,3,1,1,1,3,0
"The sneakers you've been waiting for. Get 40% off. Join 50,000 happy customers. A new product. Lowest price guaranteed. Start your free trial — no credit card, cancel anytime. Only 24 hours left.",E-commerce Fashion,0.030717,29047,2,2,2,3,0,3
"The garden kit you've been waiting for. Start your free trial — no credit card, cancel anytime. #1 rated in its category, backed by 25,000 five-star reviews. Budget-friendly. A new product. A smarter choice. While supplies last.",Home & Garden,0.017081,101365,1,3,0,3,0,2
The credit card you've been waiting for. Great value. Here's why it works. Don't miss out. Unbeatable price. Shop now.,Finance / Fintech,0.010823,147887,1,0,0,1,1,3
The credit card you've been waiting for. Learn more. You'll want to see this. Premium craftsmanship. Highly rated. Save on your order. Final hours.,Finance / Fintech,0.009184,184533,2,1,1,0,1,0
"The unlimited data plan you've been waiting for. The counterintuitive trick that doubled our results. Learn more. #1 rated in its category, backed by 25,000 five-star reviews. Budget-friendly. A smarter choice. 48-hour flash sale.",Telecom,0.013172,43504,3,3,0,0,3,2
The garden kit you've been waiting for. Save $75 instantly and get free shipping over $50. For everyone. Get started. Unbeatable price. Only 24 hours left.,Home & Garden,0.017749,6512,2,0,3,1,0,3
"The online course you've been waiting for. Trusted by 10,000+ buyers. Save 30% today. Only 24 hours left. Quality you can trust. Try it today. Here's why it works.",Education / e-Learning,0.014452,44715,2,2,2,1,1,1
The training program you've been waiting for. Here's why it works. Save on your order. Learn more. The luxury standard. Highly rated.,Fitness,0.012278,190811,0,1,1,0,1,0
The monthly donation you've been waiting for. Rated 4.8/5 by thousands. Grab yours now. Save $75 instantly and get free shipping over $50. The counterintuitive trick that doubled our results. Lowest price guaranteed. Shop the collection.,Nonprofit,0.014837,154532,0,2,3,2,3,3
"The credit card you've been waiting for. Start your free trial — no credit card, cancel anytime. Save on your order. A customer favorite. What nobody tells you about. Affordable for everyone.",Finance / Fintech,0.011169,95897,0,1,1,3,2,2
The monthly donation you've been waiting for. Quality you can trust. Don't miss out. You'll want to see this. For everyone. Save $75 instantly and get free shipping over $50.,Nonprofit,0.009855,112760,1,0,3,0,1,1
The monthly donation you've been waiting for. Affordable for everyone. For everyone. Offer expires today — act now. Save $75 instantly and get free shipping over $50. Try it today. You'll want to see this.,Nonprofit,0.013899,81349,3,0,3,1,1,2
"The daily supplements you've been waiting for. Start your free trial — no credit card, cancel anytime. Save 30% today. Don't miss out. Rated 4.8/5 by thousands. Quality you can trust.",Health & Wellness,0.018215,150433,1,2,2,3,0,1
"The skincare set you've been waiting for. Affordable for everyone. Cut your bill by half. Get started. #1 rated in its category, backed by 25,000 five-star reviews.",Beauty & Cosmetics,0.027313,127878,0,3,2,1,0,2
The skincare set you've been waiting for. Highly rated. The luxury standard. Cut your bill by half. Shop now. The secret pros use.,Beauty & Cosmetics,0.022122,29870,0,1,2,1,2,0
"The streaming plan you've been waiting for. Get 40% off. Here's why it works. #1 rated in its category, backed by 25,000 five-star reviews. Last chance. Affordable for everyone.",Entertainment / Streaming,0.031523,182060,2,3,2,0,1,2
"The wireless headphones you've been waiting for. A smarter choice. Unbeatable price. #1 rated in its category, backed by 25,000 five-star reviews. While supplies last. You'll want to see this.",Consumer Electronics,0.020866,120558,1,3,0,0,1,3
The grain-free pet food you've been waiting for. Get started. Ends at midnight tonight. A customer favorite. What nobody tells you about. Lowest price guaranteed. A smarter choice.,Pet Care,0.027149,187241,3,1,0,1,2,3
"The wireless headphones you've been waiting for. Affordable for everyone. Join 50,000 happy customers. Get started. Save $75 instantly and get free shipping over $50. While supplies last.",Consumer Electronics,0.021597,45249,1,2,3,1,0,2
"The game pass you've been waiting for. Offer expires today — act now. Start your free trial. Real savings inside. Trusted by 10,000+ buyers. Quality you can trust. You'll want to see this.",Gaming,0.036239,108924,3,2,1,2,1,1
"The monthly donation you've been waiting for. Try it today. What nobody tells you about. While supplies last. Save $75 instantly and get free shipping over $50. The luxury standard. Join 50,000 happy customers.",Nonprofit,0.013678,89850,1,2,3,1,2,0
"The downtown condo you've been waiting for. Final hours. The luxury standard. You'll want to see this. #1 rated in its category, backed by 25,000 five-star reviews. Save on your order. Shop now.",Real Estate,0.007133,88175,2,3,1,1,1,0
The monthly donation you've been waiting for. Budget-friendly. The counterintuitive trick that doubled our results. Great value. Only 24 hours left. Try it today.,Nonprofit,0.013298,182179,2,0,0,1,3,2
"The downtown condo you've been waiting for. Shop the collection. Start your free trial — no credit card, cancel anytime. Budget-friendly. The counterintuitive trick that doubled our results. #1 rated in its category, backed by 25,000 five-star reviews. Save $75 instantly and get free shipping over $50.",Real Estate,0.010476,58880,0,3,3,3,3,2
The training program you've been waiting for. The luxury standard. Save $75 instantly and get free shipping over $50. While supplies last.,Fitness,0.013821,137558,1,0,3,0,0,0
"The credit card you've been waiting for. Offer expires today — act now. Trusted by 10,000+ buyers. Save $75 instantly and get free shipping over $50. Learn more. The secret pros use. Lowest price guaranteed.",Finance / Fintech,0.016431,72224,3,2,3,0,2,3
"The monthly donation you've been waiting for. A new product. Start your free trial — no credit card, cancel anytime. Save $75 instantly and get free shipping over $50. The luxury standard. For everyone.",Nonprofit,0.00993,123117,0,0,3,3,0,0
"The unlimited data plan you've been waiting for. Start your free trial — no credit card, cancel anytime. Only 24 hours left. Here's why it works. A smarter choice. Unbeatable price.",Telecom,0.012726,154805,2,0,0,3,1,3
"The skincare set you've been waiting for. Start your free trial — no credit card, cancel anytime. A new product. Quality you can trust. Shop the collection. Save on your order.",Beauty & Cosmetics,0.020882,78589,0,0,1,3,0,1
"The designer watch you've been waiting for. Start your free trial — no credit card, cancel anytime. Save $75 instantly and get free shipping over $50. Rated 4.8/5 by thousands. 48-hour flash sale. The luxury standard.",Luxury Goods,0.013465,154445,3,2,3,3,0,0
"The designer watch you've been waiting for. Rated 4.8/5 by thousands. The counterintuitive trick that doubled our results. Cut your bill by half. While supplies last. Start your free trial — no credit card, cancel anytime. Budget-friendly.",Luxury Goods,0.011706,65971,1,2,2,3,3,2
"The monthly donation you've been waiting for. Join 50,000 happy customers. Final hours. Save on your order. The secret pros use. Quality you can trust.",Nonprofit,0.011071,92173,2,2,1,0,2,1
"The skincare set you've been waiting for. Ends soon. Claim your discount. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews. Great value. You'll want to see this.",Beauty & Cosmetics,0.025647,29646,1,3,0,2,1,1
"The skincare set you've been waiting for. Offer expires today — act now. A new product. The luxury standard. Get 40% off. Highly rated. Start your free trial — no credit card, cancel anytime.",Beauty & Cosmetics,0.029481,162304,3,1,2,3,0,0
"The insurance plan you've been waiting for. Real savings inside. Here's why it works. Start your free trial — no credit card, cancel anytime. #1 rated in its category, backed by 25,000 five-star reviews. Only 24 hours left. The luxury standard.",Insurance,0.006656,38270,2,3,1,3,1,0
"The sneakers you've been waiting for. Save 30% today. Available now. Premium craftsmanship. The counterintuitive trick that doubled our results. Start your free trial — no credit card, cancel anytime.",E-commerce Fashion,0.018878,1768,0,0,2,3,3,0
"The streaming plan you've been waiting for. Try it today. The luxury standard. Save $75 instantly and get free shipping over $50. Available now. Trusted by 10,000+ buyers. A new product.",Entertainment / Streaming,0.022039,107474,0,2,3,1,0,0
The daily supplements you've been waiting for. Shop the collection. Premium craftsmanship. Real savings inside.,Health & Wellness,0.009375,123756,0,0,1,0,0,0
"The skincare set you've been waiting for. Quality you can trust. Great value. What nobody tells you about. #1 rated in its category, backed by 25,000 five-star reviews. Only 24 hours left.",Beauty & Cosmetics,0.025663,145929,2,3,0,0,2,1
"The family sedan you've been waiting for. The counterintuitive trick that doubled our results. Great value. Start your free trial — no credit card, cancel anytime. 48-hour flash sale. The luxury standard.",Automotive,0.008676,174929,3,0,0,3,3,0
"The unlimited data plan you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. The counterintuitive trick that doubled our results. Available now. Lowest price guaranteed. Try it today. Save on your order.",Telecom,0.012622,34105,0,3,1,1,3,3
"The game pass you've been waiting for. The counterintuitive trick that doubled our results. Don't miss out. Save $75 instantly and get free shipping over $50. Grab yours now. Join 50,000 happy customers. The luxury standard.",Gaming,0.031837,97120,1,2,3,2,3,0
"The garden kit you've been waiting for. Real savings inside. Shop the collection. Affordable for everyone. A new product. Join 50,000 happy customers. Shop now.",Home & Garden,0.013575,111594,0,2,1,1,0,2
The skincare set you've been waiting for. Affordable for everyone. Shop now. Rated 4.8/5 by thousands. The secret pros use. Great value. 48-hour flash sale.,Beauty & Cosmetics,0.032297,166884,3,2,0,1,2,2
"The sneakers you've been waiting for. Save on your order. Last chance. #1 rated in its category, backed by 25,000 five-star reviews. You'll want to see this. Lowest price guaranteed.",E-commerce Fashion,0.027419,188337,2,3,1,0,1,3
The daily supplements you've been waiting for. 48-hour flash sale. Save 30% today. Unbeatable price. The counterintuitive trick that doubled our results. Get started. Rated 4.8/5 by thousands.,Health & Wellness,0.023555,191557,3,2,2,1,3,3
"The monthly donation you've been waiting for. Start your free trial — no credit card, cancel anytime. Highly rated. Here's why it works. Unbeatable price. Great value. Final hours.",Nonprofit,0.014749,156762,2,1,0,3,1,3
"The skincare set you've been waiting for. Trusted by 10,000+ buyers. Get 40% off. Don't miss out. Quality you can trust. Start your free trial — no credit card, cancel anytime. The counterintuitive trick that doubled our results.",Beauty & Cosmetics,0.031867,58401,1,2,2,3,3,1
The insurance plan you've been waiting for. Offer expires today — act now. For everyone. Real savings inside. Quality you can trust. Here's why it works.,Insurance,0.005914,128242,3,0,1,0,1,1
"The streaming plan you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Start your free trial — no credit card, cancel anytime. Great value. Affordable for everyone.",Entertainment / Streaming,0.02921,189813,0,3,0,3,0,2
"The sneakers you've been waiting for. For everyone. Start your free trial — no credit card, cancel anytime. Here's why it works. Quality you can trust. Save on your order. Ends at midnight tonight.",E-commerce Fashion,0.027602,80227,3,0,1,3,1,1
"The game pass you've been waiting for. The counterintuitive trick that doubled our results. For everyone. Cut your bill by half. Offer expires today — act now. Start your free trial — no credit card, cancel anytime. The luxury standard.",Gaming,0.034441,114957,3,0,2,3,3,0
"The streaming plan you've been waiting for. Trusted by 10,000+ buyers. Save $75 instantly and get free shipping over $50. Unbeatable price. Try it today.",Entertainment / Streaming,0.032537,90021,0,2,3,1,0,3
"The streaming plan you've been waiting for. Highly rated. What nobody tells you about. Premium craftsmanship. Start your free trial — no credit card, cancel anytime. Save $75 instantly and get free shipping over $50. Final hours.",Entertainment / Streaming,0.028912,29442,2,1,3,3,2,0
The garden kit you've been waiting for. Save $75 instantly and get free shipping over $50. Budget-friendly. What nobody tells you about. Claim your discount. 48-hour flash sale. Rated 4.8/5 by thousands.,Home & Garden,0.02008,32359,3,2,3,2,2,2
The garden kit you've been waiting for. The secret pros use. Quality you can trust. Shop the collection. Loved by customers. Save $75 instantly and get free shipping over $50. Start your free trial.,Home & Garden,0.017268,162482,0,1,3,2,2,1
"The getaway package you've been waiting for. The secret pros use. #1 rated in its category, backed by 25,000 five-star reviews. Save $75 instantly and get free shipping over $50. Quality you can trust. Learn more.",Travel & Hospitality,0.016289,47888,0,3,3,0,2,1
The software suite you've been waiting for. The secret pros use. Highly rated. Save on your order. Grab yours now. Last chance. The luxury standard.,SaaS / B2B,0.009797,77078,2,1,1,2,2,0
"The credit card you've been waiting for. Lowest price guaranteed. #1 rated in its category, backed by 25,000 five-star reviews. Cut your bill by half. You'll want to see this. Start your free trial — no credit card, cancel anytime. Ends soon.",Finance / Fintech,0.014693,55674,1,3,2,3,1,3
"The sneakers you've been waiting for. Quality you can trust. Claim your discount. Trusted by 10,000+ buyers. A smarter choice. Here's why it works. Final hours.",E-commerce Fashion,0.020702,70198,2,2,0,2,1,1
"The credit card you've been waiting for. Only 24 hours left. Unbeatable price. Here's why it works. Start your free trial — no credit card, cancel anytime. Save on your order.",Finance / Fintech,0.015989,77085,2,0,1,3,1,3
"The family sedan you've been waiting for. Last chance. Start your free trial — no credit card, cancel anytime. A smarter choice. What nobody tells you about. Join 50,000 happy customers. Affordable for everyone.",Automotive,0.009863,154272,2,2,0,3,2,2
"The online course you've been waiting for. Great value. #1 rated in its category, backed by 25,000 five-star reviews. You'll want to see this. Start your free trial — no credit card, cancel anytime. Quality you can trust. Today only.",Education / e-Learning,0.017737,50391,2,3,0,3,1,1
The wireless headphones you've been waiting for. Great value. Affordable for everyone. You'll want to see this. Offer expires today — act now. For everyone. Claim your discount.,Consumer Electronics,0.021385,129751,3,0,0,2,1,2
"The software suite you've been waiting for. Unbeatable price. Real savings inside. Highly rated. What nobody tells you about. Last chance. Start your free trial — no credit card, cancel anytime.",SaaS / B2B,0.01294,116972,2,1,1,3,2,3
The training program you've been waiting for. Loved by customers. A new product. A smarter choice. Claim your discount. Don't miss out. Premium craftsmanship.,Fitness,0.016332,130632,1,1,0,2,0,0
"The getaway package you've been waiting for. Save on your order. A new product. #1 rated in its category, backed by 25,000 five-star reviews. Shop now. Quality you can trust. Ends at midnight tonight.",Travel & Hospitality,0.016242,144445,3,3,1,1,0,1
The daily supplements you've been waiting for. Affordable for everyone. A customer favorite. Available now. Start your free trial. A smarter choice.,Health & Wellness,0.013864,174367,0,1,0,2,0,2
The insurance plan you've been waiting for. Claim your discount. While supplies last. Rated 4.8/5 by thousands. The luxury standard. Real savings inside. The counterintuitive trick that doubled our results.,Insurance,0.005335,171821,1,2,1,2,3,0
The designer watch you've been waiting for. A smarter choice. Offer expires today — act now. Lowest price guaranteed. Learn more. The secret pros use.,Luxury Goods,0.010926,166811,3,0,0,0,2,3
The coffee subscription you've been waiting for. Save on your order. The counterintuitive trick that doubled our results. Loved by customers. Budget-friendly. Start your free trial.,Food & Beverage,0.019285,41681,0,1,1,2,3,2
"The monthly donation you've been waiting for. Highly rated. Quality you can trust. Real savings inside. The secret pros use. Start your free trial — no credit card, cancel anytime. Ends soon.",Nonprofit,0.013043,105607,1,1,1,3,2,1
The skincare set you've been waiting for. Only 24 hours left. The counterintuitive trick that doubled our results. Quality you can trust. Try it today. Cut your bill by half. Highly rated.,Beauty & Cosmetics,0.026901,101315,2,1,2,1,3,1
The game pass you've been waiting for. Get 40% off. Rated 4.8/5 by thousands. Final hours. A new product. Claim your discount. Quality you can trust.,Gaming,0.040945,192373,2,2,2,2,0,1
The software suite you've been waiting for. Ends soon. Unbeatable price. The counterintuitive trick that doubled our results. Grab yours now. Save $75 instantly and get free shipping over $50.,SaaS / B2B,0.010447,15415,1,0,3,2,3,3
The training program you've been waiting for. Save on your order. The secret pros use. Start your free trial. Lowest price guaranteed. For everyone.,Fitness,0.020576,107784,0,0,1,2,2,3
The credit card you've been waiting for. Highly rated. Shop now. The secret pros use. Only 24 hours left. Save $75 instantly and get free shipping over $50. Budget-friendly.,Finance / Fintech,0.013941,5802,2,1,3,1,2,2
"The monthly donation you've been waiting for. Get 40% off. Start your free trial — no credit card, cancel anytime. What nobody tells you about. Ends soon. Lowest price guaranteed. For everyone.",Nonprofit,0.01601,23036,1,0,2,3,2,3
"The online course you've been waiting for. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews. Only 24 hours left. Save $75 instantly and get free shipping over $50. The secret pros use. Start your free trial — no credit card, cancel anytime.",Education / e-Learning,0.019768,16614,2,3,3,3,2,1
"The credit card you've been waiting for. Trusted by 10,000+ buyers. Learn more. Budget-friendly. Only 24 hours left. Cut your bill by half. You'll want to see this.",Finance / Fintech,0.013014,46606,2,2,2,0,1,2
The family sedan you've been waiting for. What nobody tells you about. Last chance. Rated 4.8/5 by thousands. Save $75 instantly and get free shipping over $50. Grab yours now. Quality you can trust.,Automotive,0.010164,87347,2,2,3,2,2,1
"The credit card you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Save on your order. The luxury standard. Ends soon. The counterintuitive trick that doubled our results. Grab yours now.",Finance / Fintech,0.012292,188812,1,3,1,2,3,0
"The sneakers you've been waiting for. The luxury standard. Trusted by 10,000+ buyers. A smarter choice. Get started.",E-commerce Fashion,0.014282,8595,0,2,0,1,0,0
The software suite you've been waiting for. Grab yours now. Great value. What nobody tells you about. Quality you can trust. 48-hour flash sale.,SaaS / B2B,0.009865,147840,3,0,0,2,2,1
"The getaway package you've been waiting for. Affordable for everyone. Available now. The counterintuitive trick that doubled our results. Start your free trial — no credit card, cancel anytime. #1 rated in its category, backed by 25,000 five-star reviews. A smarter choice.",Travel & Hospitality,0.016421,176607,0,3,0,3,3,2
"The monthly donation you've been waiting for. Get started. Quality you can trust. The counterintuitive trick that doubled our results. Great value. Don't miss out. Join 50,000 happy customers.",Nonprofit,0.010336,10830,1,2,0,1,3,1
The garden kit you've been waiting for. Last chance. Quality you can trust. You'll want to see this. Try it today. Cut your bill by half. A customer favorite.,Home & Garden,0.016681,32878,2,1,2,1,1,1
The streaming plan you've been waiting for. A smarter choice. Rated 4.8/5 by thousands. Only 24 hours left. Budget-friendly. A new product.,Entertainment / Streaming,0.030029,111549,2,2,0,0,0,2
"The coffee subscription you've been waiting for. Save on your order. Ends at midnight tonight. A new product. Trusted by 10,000+ buyers. Affordable for everyone.",Food & Beverage,0.021634,156687,3,2,1,0,0,2
The insurance plan you've been waiting for. Try it today. Unbeatable price. While supplies last. The counterintuitive trick that doubled our results. A smarter choice. Highly rated.,Insurance,0.007743,167321,1,1,0,1,3,3
The online course you've been waiting for. Quality you can trust. The secret pros use. Shop now. Rated 4.8/5 by thousands. Great value.,Education / e-Learning,0.011516,187640,0,2,0,1,2,1
"The unlimited data plan you've been waiting for. Save $75 instantly and get free shipping over $50. #1 rated in its category, backed by 25,000 five-star reviews. Learn more. Shop the collection. Premium craftsmanship.",Telecom,0.00989,39934,0,3,3,0,0,0
"The monthly donation you've been waiting for. Start your free trial — no credit card, cancel anytime. Get 40% off. Quality you can trust. Trusted by 10,000+ buyers. Ends soon. What nobody tells you about.",Nonprofit,0.014511,4765,1,2,2,3,2,1
The downtown condo you've been waiting for. Here's why it works. Highly rated. Ends soon. Save $75 instantly and get free shipping over $50. Get started. Quality you can trust.,Real Estate,0.007396,34697,1,1,3,1,1,1
The sneakers you've been waiting for. Real savings inside. The counterintuitive trick that doubled our results. The luxury standard.,E-commerce Fashion,0.014342,111459,0,0,1,0,3,0
The sneakers you've been waiting for. The counterintuitive trick that doubled our results. Great value. While supplies last. Unbeatable price. For everyone. Learn more.,E-commerce Fashion,0.020012,133864,1,0,0,0,3,3
The streaming plan you've been waiting for. Cut your bill by half. Unbeatable price. Learn more. 48-hour flash sale. Highly rated. A new product.,Entertainment / Streaming,0.033858,175423,3,1,2,0,0,3
The daily supplements you've been waiting for. Quality you can trust. Shop the collection. Get 40% off. The secret pros use. Highly rated.,Health & Wellness,0.015311,185675,0,1,2,0,2,1
The designer watch you've been waiting for. What nobody tells you about. Grab yours now. Save $75 instantly and get free shipping over $50. Offer expires today — act now. Loved by customers. Quality you can trust.,Luxury Goods,0.012554,142508,3,1,3,2,2,1
The family sedan you've been waiting for. Rated 4.8/5 by thousands. You'll want to see this. Cut your bill by half. Claim your discount. Only 24 hours left. Quality you can trust.,Automotive,0.009598,12098,2,2,2,2,1,1
"The skincare set you've been waiting for. What nobody tells you about. Great value. Trusted by 10,000+ buyers. The luxury standard. Last chance. Get started.",Beauty & Cosmetics,0.020865,114200,2,2,0,1,2,0
"The credit card you've been waiting for. Don't miss out. Start your free trial. Save $75 instantly and get free shipping over $50. #1 rated in its category, backed by 25,000 five-star reviews. The luxury standard. The secret pros use.",Finance / Fintech,0.015928,31818,1,3,3,2,2,0
"The credit card you've been waiting for. Great value. Unbeatable price. Claim your discount. Here's why it works. #1 rated in its category, backed by 25,000 five-star reviews. Ends soon.",Finance / Fintech,0.01374,28516,1,3,0,2,1,3
The wireless headphones you've been waiting for. Don't miss out. For everyone. Budget-friendly. The secret pros use. Save $75 instantly and get free shipping over $50. Start your free trial.,Consumer Electronics,0.021474,161069,1,0,3,2,2,2
"The wireless headphones you've been waiting for. Final hours. Lowest price guaranteed. Start your free trial — no credit card, cancel anytime. Rated 4.8/5 by thousands. Save $75 instantly and get free shipping over $50. Here's why it works.",Consumer Electronics,0.029554,10369,2,2,3,3,1,3
The family sedan you've been waiting for. Loved by customers. Affordable for everyone. Great value. Start your free trial. Don't miss out.,Automotive,0.007867,42666,1,1,0,2,0,2
"The wireless headphones you've been waiting for. The counterintuitive trick that doubled our results. Great value. Start your free trial. #1 rated in its category, backed by 25,000 five-star reviews. 48-hour flash sale. Unbeatable price.",Consumer Electronics,0.025259,112820,3,3,0,2,3,3
The streaming plan you've been waiting for. Save $75 instantly and get free shipping over $50. Affordable for everyone. Shop now. Offer expires today — act now. Here's why it works. Rated 4.8/5 by thousands.,Entertainment / Streaming,0.040175,64482,3,2,3,1,1,2
The sneakers you've been waiting for. Quality you can trust. Offer expires today — act now. Learn more. What nobody tells you about. Save on your order.,E-commerce Fashion,0.021527,144186,3,0,1,0,2,1
"The online course you've been waiting for. Start your free trial — no credit card, cancel anytime. Quality you can trust. Final hours. A new product. Save on your order.",Education / e-Learning,0.012336,75743,2,0,1,3,0,1
"The family sedan you've been waiting for. What nobody tells you about. Real savings inside. Lowest price guaranteed. #1 rated in its category, backed by 25,000 five-star reviews. Offer expires today — act now. Get started.",Automotive,0.013265,180093,3,3,1,1,2,3
The training program you've been waiting for. Highly rated. Lowest price guaranteed. Offer expires today — act now. Get started. The counterintuitive trick that doubled our results. Great value.,Fitness,0.027148,136295,3,1,0,1,3,3
"The monthly donation you've been waiting for. The luxury standard. Join 50,000 happy customers. While supplies last. Start your free trial — no credit card, cancel anytime. A new product. Save $75 instantly and get free shipping over $50.",Nonprofit,0.014556,33767,1,2,3,3,0,0
"The garden kit you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. The counterintuitive trick that doubled our results. Unbeatable price. Great value. Final hours. Try it today.",Home & Garden,0.019667,162470,2,3,0,1,3,3
The credit card you've been waiting for. Budget-friendly. The counterintuitive trick that doubled our results. Shop now. For everyone. Save $75 instantly and get free shipping over $50. Don't miss out.,Finance / Fintech,0.01547,186289,1,0,3,1,3,2
"The skincare set you've been waiting for. Claim your discount. Budget-friendly. The counterintuitive trick that doubled our results. Only 24 hours left. Trusted by 10,000+ buyers. Save $75 instantly and get free shipping over $50.",Beauty & Cosmetics,0.036363,76489,2,2,3,2,3,2
"The sneakers you've been waiting for. Don't miss out. Join 50,000 happy customers. The secret pros use. Lowest price guaranteed. Try it today. Save $75 instantly and get free shipping over $50.",E-commerce Fashion,0.028757,90792,1,2,3,1,2,3
"The monthly donation you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Affordable for everyone. Ends at midnight tonight. Save $75 instantly and get free shipping over $50.",Nonprofit,0.017981,96878,3,3,3,0,0,2
The skincare set you've been waiting for. Affordable for everyone. The counterintuitive trick that doubled our results. Learn more. Final hours. Save $75 instantly and get free shipping over $50. Rated 4.8/5 by thousands.,Beauty & Cosmetics,0.029035,99645,2,2,3,0,3,2
"The online course you've been waiting for. Available now. Try it today. The luxury standard. Join 50,000 happy customers. The counterintuitive trick that doubled our results. Cut your bill by half.",Education / e-Learning,0.013087,43384,0,2,2,1,3,0
"The monthly donation you've been waiting for. Start your free trial — no credit card, cancel anytime. #1 rated in its category, backed by 25,000 five-star reviews. Quality you can trust. Real savings inside. Ends at midnight tonight.",Nonprofit,0.01882,40939,3,3,1,3,0,1
"The credit card you've been waiting for. Start your free trial — no credit card, cancel anytime. The luxury standard. Save $75 instantly and get free shipping over $50. While supplies last. #1 rated in its category, backed by 25,000 five-star reviews. The counterintuitive trick that doubled our results.",Finance / Fintech,0.014916,25303,1,3,3,3,3,0
The credit card you've been waiting for. Affordable for everyone. You'll want to see this. Get started. For everyone. Ends soon. Real savings inside.,Finance / Fintech,0.009961,44231,1,0,1,1,1,2
"The insurance plan you've been waiting for. Get 40% off. #1 rated in its category, backed by 25,000 five-star reviews. The secret pros use. Shop the collection. Budget-friendly. Start your free trial — no credit card, cancel anytime.",Insurance,0.007239,101020,0,3,2,3,2,2
The coffee subscription you've been waiting for. Grab yours now. Here's why it works. Save $75 instantly and get free shipping over $50. A customer favorite. Quality you can trust. Final hours.,Food & Beverage,0.022513,88128,2,1,3,2,1,1
"The family sedan you've been waiting for. Rated 4.8/5 by thousands. Get 40% off. Only 24 hours left. Start your free trial — no credit card, cancel anytime. Affordable for everyone. The counterintuitive trick that doubled our results.",Automotive,0.011666,159720,2,2,2,3,3,2
The coffee subscription you've been waiting for. Premium craftsmanship. Try it today. Great value. Last chance. Here's why it works.,Food & Beverage,0.016241,37873,2,0,0,1,1,0
The designer watch you've been waiting for. Premium craftsmanship. Learn more. You'll want to see this. Great value. For everyone. 48-hour flash sale.,Luxury Goods,0.006956,56319,3,0,0,0,1,0
The streaming plan you've been waiting for. Quality you can trust. Rated 4.8/5 by thousands. The secret pros use. Shop now. Ends at midnight tonight. Real savings inside.,Entertainment / Streaming,0.035782,59001,3,2,1,1,2,1
"The unlimited data plan you've been waiting for. The luxury standard. Today only. The counterintuitive trick that doubled our results. Rated 4.8/5 by thousands. Start your free trial — no credit card, cancel anytime. Save 30% today.",Telecom,0.012383,44306,2,2,2,3,3,0
"The streaming plan you've been waiting for. A smarter choice. #1 rated in its category, backed by 25,000 five-star reviews. Unbeatable price. Here's why it works. Start your free trial — no credit card, cancel anytime. Available now.",Entertainment / Streaming,0.030663,96693,0,3,0,3,1,3
The daily supplements you've been waiting for. Get started. The counterintuitive trick that doubled our results. Premium craftsmanship. For everyone. Cut your bill by half. Don't miss out.,Health & Wellness,0.014931,179280,1,0,2,1,3,0
"The wireless headphones you've been waiting for. The counterintuitive trick that doubled our results. Save on your order. Today only. Quality you can trust. Claim your discount. #1 rated in its category, backed by 25,000 five-star reviews.",Consumer Electronics,0.0226,15271,2,3,1,2,3,1
"The garden kit you've been waiting for. Final hours. Quality you can trust. Loved by customers. Great value. Start your free trial — no credit card, cancel anytime. What nobody tells you about.",Home & Garden,0.016207,187274,2,1,0,3,2,1
The garden kit you've been waiting for. Premium craftsmanship. Great value. What nobody tells you about. Available now. Loved by customers.,Home & Garden,0.00932,11105,0,1,0,0,2,0
"The daily supplements you've been waiting for. Last chance. Premium craftsmanship. Start your free trial — no credit card, cancel anytime. Get 40% off. #1 rated in its category, backed by 25,000 five-star reviews. What nobody tells you about.",Health & Wellness,0.021327,189165,2,3,2,3,2,0
The wireless headphones you've been waiting for. Rated 4.8/5 by thousands. Save 30% today. Lowest price guaranteed. Shop the collection. Here's why it works. Learn more.,Consumer Electronics,0.021548,175601,0,2,2,0,1,3
The software suite you've been waiting for. Offer expires today — act now. Get started. Rated 4.8/5 by thousands. A new product. Save $75 instantly and get free shipping over $50. The luxury standard.,SaaS / B2B,0.010173,159433,3,2,3,1,0,0
The designer watch you've been waiting for. Unbeatable price. While supplies last. Loved by customers. You'll want to see this. Learn more. A smarter choice.,Luxury Goods,0.010065,120254,1,1,0,0,1,3
The streaming plan you've been waiting for. Unbeatable price. The secret pros use. For everyone. Cut your bill by half.,Entertainment / Streaming,0.026376,67583,0,0,2,0,2,3
"The training program you've been waiting for. Save 30% today. #1 rated in its category, backed by 25,000 five-star reviews. Here's why it works. Grab yours now. 48-hour flash sale. Unbeatable price.",Fitness,0.032571,65671,3,3,2,2,1,3
The getaway package you've been waiting for. Start your free trial. A new product. Quality you can trust. Available now. Great value.,Travel & Hospitality,0.011221,68511,0,0,0,2,0,1
The credit card you've been waiting for. Premium craftsmanship. Real savings inside. You'll want to see this. Offer expires today — act now. A customer favorite.,Finance / Fintech,0.010483,176160,3,1,1,0,1,0
